"","category","longitude","latitude"
"187","travel",-47.46417,-23.49922
"188","travel",14.50151,46.04754
"189","travel",23.34073,42.64369
"190","travel",23.34073,42.64369
"191","travel",-47.46417,-23.49922
"192","travel",23.345947266,42.652441757
"193","travel",19.389099503,47.425265854
"194","travel",23.345947266,42.652441757
"195","travel",23.34073,42.64369
"196","travel",23.34073,42.64369
"197","travel",30.48351,50.4388099
"198","travel",23.34073,42.64369
"199","travel",-96.179369688,41.233320217
"200","travel",10.04322052,45.780454037
"201","travel",5.115833728,51.523242268
"202","travel",11.12815,44.51162
"203","travel",-98.231161874,19.027178673
"204","travel",11.12815,44.51162
"205","travel",77.5872,12.96642
"206","food",-87.6844,41.8369
"207","food",-80.6075592,36.5011902
"208","food",-74.009196,40.743396
"209","food",-84.996211426,32.464629814
"210","food",28.391211006,-25.880421114
"211","food",31.019,-29.8573
"212","food",-96.71687,32.82298
"213","food",-118.26685,34.0308
"214","food",-80.228555176,26.107148383
"215","food",-80.632575355,27.99636345
"216","food",-95.404194,29.804159
"217","food",144.913015366,-37.5887989
"218","food",-90.148033214,32.273767683
"219","food",-97.130038,31.558424
"220","food",74.363987446,31.531799302
"221","food",-73.9766632,40.7806013
"222","food",-74.009196,40.743396
"223","food",-73.9766632,40.7806013
"224","food",-74.0064,40.7142
"225","food",-117.919306755,33.806965935
"226","food",22.94839064,40.62710377
"227","food",8.75577,50.13155
"228","food",-74.0064,40.7142
"229","food",13.7333,51.0333
"230","food",4.8922,52.3731
"231","food",-74.009196,40.743396
"232","food",-82.532809747,35.428393118
"233","food",152.72681,-26.59577
"234","food",-95.228875486,38.96863983
"235","food",77.58464719,13.004959644
"236","food",-74.0064,40.7142
"237","food",-111.927657711,33.500466419
"238","food",-82.439431236,27.960023365
"239","food",145.0047457,-37.734222
"240","food",-75.24715,39.96923
"241","food",103.820358,1.25676
"242","food",-92.473885,31.29003
"243","food",27.98618,-26.25841
"244","food",153.3381042,-27.9233208
"245","food",-118.2483172,34.0490416
"246","food",-81.022086727,33.976977432
"247","food",103.856,1.29306
"248","food",24.8836,41.1414
"249","food",-0.337057252,53.742654341
"250","food",8.69686255,50.570599283
"251","food",-76.2247431,43.0732169
"252","food",-74.210950534,42.20434152
"253","food",-71.416025162,41.827426824
"254","food",-80.038246,40.539154
"255","food",16.89222222,52.3975
"256","food",-51.181526184,-30.034064866
"257","food",-74.071558925,40.819916241
"258","food",145.0047457,-37.734222
"259","food",145.0047457,-37.734222
"260","food",-118.1676093,34.1590802
"261","food",144.971784425,-37.80477536
"262","food",172.601111,-43.545833
"263","food",-76.97215,39.37432
"264","food",-75.977729148,36.859507404
"265","food",18.605926037,54.382719279
"266","food",-75.056057591,39.361912613
"267","food",28.137120097,-25.831724146
"268","food",-73.3636463,42.1799492
"269","food",-70.535756454,41.619175829
"270","food",-98.419318906,29.419282131
"271","food",16.91154,52.40201
"272","food",153.096335547,-26.654586743
"273","food",-123.152417793,49.245219264
"274","food",-79.383105172,43.652293004
"275","food",-80.003669865,35.956117103
"276","food",-74.4181,39.3617
"277","food",153.0860999,-26.39902
"278","food",-80.202080281,40.220304398
"279","food",-85.7088,43.159
"280","food",-74.017227176,40.309151622
"281","food",11.26148056,43.76885
"282","food",74.364282436,31.532237617
"283","food",-73.7684975,41.07217607
"284","food",28.391211006,-25.880421114
"285","food",4.898014,52.373503
"286","food",-72.561610271,41.669709499
"287","food",7.22705,51.48099
"288","food",66.995401632,24.843247804
"289","food",67.105312228,24.921198481
"290","food",18.973056,50.288333
"291","food",-2.040324211,53.962271716
"292","food",-2.761915102,52.708197729
"293","food",18,53.1167
"294","food",11.475090981,48.261993759
"295","food",-117.918877602,33.812243316
"296","food",6.76278,51.5825
"297","food",9.71667,52.3667
"298","food",18.071451721,59.331564878
"299","food",9.73455,52.37165
"300","food",6.847325683,51.475232955
"301","food",17.086465359,51.104694131
"302","food",9.18333,48.7667
"303","food",10.3256302,44.8050613
"304","food",19.948370227,50.088083406
"305","food",10.68467617,53.877656139
"306","food",11.9667,51.4833
"307","food",8.377526674,48.996615972
"308","food",11.2209,43.78204
"309","food",-97.478738849,35.512901332
"310","food",11.048083305,50.974494286
"311","food",9.5,51.3167
"312","food",-112.234962162,33.628342452
"313","food",-82.445,27.94397
"314","food",15.17294,50.36808
"315","food",-81.38408,28.66535
"316","food",13.3667,50.9167
