"","word","freq"
"proyectos","proyectos",8
"rave","rave",8
"regional","regional",8
"sales","sales",8
"scene","scene",8
"sculpture","sculpture",8
"seja","seja",8
"selection","selection",8
"sem","sem",8
"sempre","sempre",8
"shop","shop",8
"since","since",8
"single","single",8
"something","something",8
"stand","stand",8
"stands","stands",8
"start","start",8
"state","state",8
"tasting","tasting",8
"tba","tba",8
"techniques","techniques",8
"temple","temple",8
"tout","tout",8
"trento","trento",8
"tuned","tuned",8
"view","view",8
"vivo","vivo",8
"water","water",8
"way","way",8
"wir","wir",8
"young","young",8
"acts","acts",7
"alongside","alongside",7
"ana","ana",7
"announce","announce",7
"application","application",7
"artisans","artisans",7
"auch","auch",7
"avant","avant",7
"banad","banad",7
"beyond","beyond",7
"big","big",7
"billets","billets",7
"booth","booth",7
"cena","cena",7
"cidade","cidade",7
"cine","cine",7
"click","click",7
"coin","coin",7
"concerts","concerts",7
"contemporain","contemporain",7
"contests","contests",7
"convocatoria","convocatoria",7
"council","council",7
"coxinha","coxinha",7
"crazy","crazy",7
"current","current",7
"dark","dark",7
"dates","dates",7
"dedicated","dedicated",7
"disponibles","disponibles",7
"dress","dress",7
"dune","dune",7
"east","east",7
"europe","europe",7
"ever","ever",7
"exhibitors","exhibitors",7
"facebook","facebook",7
"fashion","fashion",7
"favor","favor",7
"february","february",7
"federal","federal",7
"five","five",7
"folk","folk",7
"fresh","fresh",7
"gratuit","gratuit",7
"green","green",7
"history","history",7
"hosted","hosted",7
"hotel","hotel",7
"houston","houston",7
"incontrano","incontrano",7
"instytut","instytut",7
"irish","irish",7
"island","island",7
"junto","junto",7
"keep","keep",7
"known","known",7
"little","little",7
"lixo","lixo",7
"london","london",7
"maggio","maggio",7
"man","man",7
"map","map",7
"mar","mar",7
"marne","marne",7
"master","master",7
"memorial","memorial",7
"metro","metro",7
"mexican","mexican",7
"morne","morne",7
"muito","muito",7
"musica","musica",7
"nel","nel",7
"nossos","nossos",7
"objetivo","objetivo",7
"opportunity","opportunity",7
"package","package",7
"palestra","palestra",7
"phoenix","phoenix",7
"pinacoteca","pinacoteca",7
"porte","porte",7
"prieur","prieur",7
"products","products",7
"professor","professor",7
"projects","projects",7
"proyecto","proyecto",7
"rare","rare",7
"records","records",7
"restaurants","restaurants",7
"rue","rue",7
"salles","salles",7
"santa","santa",7
"sculptures","sculptures",7
"second","second",7
"selected","selected",7
"selling","selling",7
"seront","seront",7
"size","size",7
"solo","solo",7
"sono","sono",7
"station","station",7
"still","still",7
"stock","stock",7
"techno","techno",7
"texas","texas",7
"thank","thank",7
"thousands","thousands",7
"times","times",7
"toda","toda",7
"todas","todas",7
"toute","toute",7
"town","town",7
"uns","uns",7
"urban","urban",7
"valle","valle",7
"variety","variety",7
"vila","vila",7
"volta","volta",7
"votre","votre",7
"welcome","welcome",7
"whole","whole",7
"wood","wood",7
"workshop","workshop",7
"zone","zone",7
"addition","addition",6
"additional","additional",6
"alemanha","alemanha",6
"already","already",6
"angeles","angeles",6
"ano","ano",6
"apply","apply",6
"artesanais","artesanais",6
"arthur","arthur",6
"attendees","attendees",6
"avenue","avenue",6
"avons","avons",6
"bajo","bajo",6
"bands","bands",6
"bay","bay",6
"benefit","benefit",6
"better","better",6
"birds","birds",6
"bolos","bolos",6
"bosco","bosco",6
"botafogo","botafogo",6
"bouteilles","bouteilles",6
"budapest","budapest",6
"buy","buy",6
"catalogue","catalogue",6
"cest","cest",6
"charities","charities",6
"cinema","cinema",6
"cocktail","cocktail",6
"commemorative","commemorative",6
"creations","creations",6
"credit","credit",6
"curadora","curadora",6
"curated","curated",6
"dentro","dentro",6
"designers","designers",6
"director","director",6
"discussions","discussions",6
"ela","ela",6
"entrar","entrar",6
"estamos","estamos",6
"even","even",6
"favorite","favorite",6
"fechas","fechas",6
"films","films",6
"floor","floor",6
"foire","foire",6
"fortress","fortress",6
"graffiti","graffiti",6
"grounds","grounds",6
"guatemala","guatemala",6
"happy","happy",6
"hogy","hogy",6
"hong","hong",6
"illetve","illetve",6
"ils","ils",6
"informations","informations",6
"ingressos","ingressos",6
"ink","ink",6
"internet","internet",6
"invite","invite",6
"jewelry","jewelry",6
"king","king",6
"large","large",6
"larger","larger",6
"largest","largest",6
"lasar","lasar",6
"light","light",6
"loading","loading",6
"lot","lot",6
"lovers","lovers",6
"luka","luka",6
"lyallpur","lyallpur",6
"machines","machines",6
"mainfloor","mainfloor",6
"makes","makes",6
"marco","marco",6
"mariana","mariana",6
"meeting","meeting",6
"melhores","melhores",6
"minds","minds",6
"mini","mini",6
"mit","mit",6
"mix","mix",6
"monde","monde",6
"mountain","mountain",6
"museums","museums",6
"next","next",6
"non","non",6
"nova","nova",6
"novos","novos",6
"nyc","nyc",6
"obras","obras",6
"october","october",6
"offers","offers",6
"office","office",6
